repo,days_since_last_commit,bus_factor,issue_closure_rate_pct,pr_merge_rate_pct,commits_90d,contributors_sampled,has_ci,has_tests,archived,latest_release_age_days,latest_release_at,label
Begzod10/management-v2,0,1,0,100.0,100,4,1,1,0,,,
Benboerba620/ai-signal,1,1,0,100.0,100,2,1,1,0,,,
BenchBox-dev/BenchBox,0,1,0,98.0,100,3,1,1,0,8,2026-08-28T12:23:08Z,
BennoBaer-dev/suslik,1,1,83.3,0,72,1,0,0,0,1,2026-09-03T17:15:06Z,
BigDawnGhost/wenyi,2,1,41.7,90.1,100,15,1,1,0,4,2026-08-31T15:14:06Z,
Bino5150/lumina,1,1,0,100.0,100,3,1,1,0,,,
Binomica-Labs/SpliceCraft,5,1,77.8,0,100,2,1,1,0,5,2026-08-31T02:38:09Z,
Birfy/agentdescent,0,1,66.7,100.0,100,3,1,1,0,7,2026-08-28T15:32:49Z,
Bitshank-2338/clicky-windows,0,1,77.8,66.7,25,3,0,0,0,0,2026-09-05T13:23:42Z,
Blackwellboy/model-serving-minefield,0,1,56.8,82.3,100,11,1,1,0,,,
Blink9209/blink9209.github.io,0,1,0,0,100,1,1,0,0,,,
Blizaine/Maestro,0,1,67.1,40.0,100,1,1,1,0,,,
BlocUnited-LLC/mozaiks,0,1,53.8,88.3,100,8,1,1,0,223,2026-01-24T18:23:31Z,
BlueManCZ/hyprmod,8,1,88.7,92.0,43,8,1,1,0,66,2026-07-01T05:44:38Z,
BnanZ0/ok-nte,9,1,98.2,64.6,100,22,1,1,0,9,2026-08-27T03:19:58Z,
Bodhi42/Occular-ocr,1,2,0,0,9,4,0,1,0,8,2026-08-28T06:42:14Z,
BodyLieutenantLock/EA-FC-Mod-Manager,0,1,0,0,100,1,0,0,0,0,2026-09-04T14:57:24Z,
Boffo90/cardwright,0,1,0,100.0,100,2,1,1,0,7,2026-08-28T15:51:18Z,
Boom5426/Nature-Paper-Skills,0,1,0,100.0,14,1,1,1,0,,,
Booyaka101/hass-breakage-radar,0,1,100.0,100.0,96,3,1,1,0,2,2026-09-03T07:13:56Z,
Borda/AI-Rig,0,1,0,100.0,100,2,1,1,0,,,
BottomCustodian/Onimusha-Way-of-the-Sword-Trainer,0,1,0,0,100,1,0,0,0,0,2026-09-04T14:35:43Z,
BrightbeamAI/chap,1,2,72.7,94.6,93,4,1,1,0,15,2026-08-20T17:27:30Z,
BuddyChewChew/pluto,0,1,75.0,0,100,2,1,0,0,,,
BuddyChewChew/sports,0,1,100.0,0,100,4,1,0,0,,,
BytedTsinghua-SIA/CUDA-Agent,187,1,23.5,0,0,2,0,0,0,,,
CALLE-AI/awesome-phone-call-agents,0,5,18.2,73.1,100,95,1,1,0,,,
CHATS-lab/VibeLens,0,1,0,60.0,91,4,1,1,0,130,2026-04-28T02:31:29Z,
CHEN010325/paddleocr-local,1,1,14.3,100.0,55,2,1,1,0,,,
CNTWDev/hushclaw,0,1,0,0,100,2,1,1,0,90,2026-06-07T03:15:10Z,
CNWU16/vedic-astro-skills,0,1,0,50.0,100,4,0,1,0,,,
COCOP1l0t/CodeAuditor,0,1,100.0,68.8,48,5,0,1,0,,,
CODERUDRA-X/AEGIS-SWARM,0,1,0,0,82,1,1,1,0,,,
CRui5in/paper-ppt-agent,17,1,36.4,85.7,55,5,0,0,0,47,2026-07-20T08:57:53Z,
CSCB/vibe-mouse,44,1,0,0,14,1,0,0,0,,,
CSU-JPG/FlowInOne,1,1,100.0,0,3,1,0,0,0,,,
CUBOPLUS-BTC/bitcoin-mempool-fee-predictor,0,1,0,0,100,2,1,1,0,,,
CURRENTF/Sparse-vLLM,2,1,75.0,84.2,100,4,1,1,0,,,
Cai-aa/CAE-Agent-Hub,1,1,25.0,95.2,77,6,1,1,0,14,2026-08-22T03:00:04Z,
Calix-L/DanKS,3,1,0,0,34,3,1,1,0,14,2026-08-21T20:38:57Z,
